%MC_DataTool ASCII conversion
%
%t           	El 12       	El 45       	El 86
%[ms]        	[microV]        	[microV]        	[microV]
0.000       	0.83        	-4.58       	3.75
0.100       	-8.33       	-2.08       	2.50
0.200       	-10.00      	-0.42       	0.83
0.300       	-9.58       	-3.75       	-8.75
0.400       	-2.50       	-2.50       	-5.00
0.500       	-5.42       	-2.92       	-9.58
0.600       	-9.58       	-0.83       	-5.42
0.700       	-6.67       	0.00        	1.67
0.800       	-4.17       	-0.83       	1.67
0.900       	-3.33       	-4.17       	-5.83
1.000       	-4.58       	-5.00       	-7.08
1.100       	-2.92       	-0.83       	1.67
1.200       	-2.92       	0.00        	4.17
1.300       	-1.25       	-2.92       	3.75
1.400       	-5.00       	3.33        	-0.83
1.500       	-5.83       	-0.83       	-3.75
1.600       	-1.25       	-4.17       	-9.17
1.700       	-6.25       	-1.67       	-6.25
1.800       	-5.83       	-0.83       	-8.33
1.900       	-3.33       	-0.83       	-12.92
2.000       	-8.75       	-7.50       	-10.42
2.100       	-9.58       	-7.50       	-3.33
2.200       	-7.92       	-4.58       	5.00
2.300       	-5.00       	-1.25       	8.75
2.400       	-5.83       	-1.67       	4.17
2.500       	-13.33      	-5.00       	-3.75
2.600       	-3.75       	-6.67       	-5.00
2.700       	2.50        	-1.67       	-5.00
2.800       	-4.58       	0.42        	-5.00
2.900       	-5.83       	0.42        	-7.92
3.000       	-3.75       	-4.17       	0.42
3.100       	-7.08       	-5.00       	0.83
3.200       	-9.17       	-1.25       	5.00
3.300       	-8.33       	-6.25       	5.42
3.400       	-8.75       	-4.58       	8.75
3.500       	-9.58       	-1.67       	7.92
3.600       	-0.83       	2.08        	-1.67
3.700       	5.00        	2.50        	0.00
3.800       	2.08        	-0.83       	8.33
3.900       	-0.83       	1.67        	5.00
4.000       	-1.67       	3.75        	-4.58
4.100       	2.50        	5.83        	-5.00
4.200       	-5.83       	0.00        	1.67
4.300       	-6.67       	-4.17       	1.25
4.400       	-7.92       	-3.75       	-2.08
4.500       	-4.58       	0.00        	-1.25
4.600       	-7.92       	3.75        	-1.67
4.700       	-10.42      	-0.42       	-7.08
4.800       	2.50        	-2.92       	-1.67
4.900       	4.17        	-1.67       	0.83
5.000       	-2.92       	-2.08       	-7.50
5.100       	-3.75       	-2.50       	-9.58
5.200       	1.25        	-2.08       	-5.83
5.300       	-5.42       	-2.08       	-4.17
5.400       	-9.17       	3.75        	-5.83
5.500       	-5.83       	-0.42       	-2.92
5.600       	-0.83       	-0.83       	0.83
5.700       	-2.50       	5.83        	7.08
5.800       	-0.42       	5.83        	9.58
5.900       	2.92        	1.67        	4.17
6.000       	4.58        	4.17        	7.50
6.100       	-5.83       	1.67        	-2.50
6.200       	-5.00       	9.58        	3.75
6.300       	-6.67       	1.67        	-5.83
6.400       	-2.92       	-0.42       	-5.00
6.500       	-0.83       	-1.67       	-0.42
6.600       	0.83        	-4.17       	3.33
6.700       	7.92        	3.33        	-2.50
6.800       	0.42        	6.67        	-2.08
6.900       	2.08        	10.00       	-1.67
7.000       	-6.67       	5.42        	-9.58
7.100       	-8.75       	4.17        	-5.83
7.200       	-6.25       	3.75        	-6.25
7.300       	-2.50       	-0.83       	-9.17
7.400       	-0.42       	1.67        	-6.67
7.500       	-0.42       	7.50        	-7.50
7.600       	-4.58       	2.92        	-7.08
7.700       	-9.17       	-0.42       	-15.00
7.800       	-2.50       	3.75        	-14.58
7.900       	-0.83       	7.08        	-16.25
8.000       	-5.42       	1.67        	-13.75
8.100       	-7.92       	1.25        	-9.17
8.200       	-10.83      	-4.17       	-15.42
8.300       	-11.25      	-0.83       	-14.17
8.400       	-4.58       	-2.92       	-15.00
8.500       	-7.08       	-8.33       	-11.25
8.600       	-7.50       	-10.00      	-7.08
8.700       	-1.25       	-11.25      	-12.50
8.800       	-1.25       	-11.67      	-10.83
8.900       	-5.83       	-5.83       	-8.75
9.000       	-6.25       	-6.25       	-12.50
9.100       	-3.33       	-6.67       	-7.92
9.200       	-11.67      	-6.67       	-10.83
9.300       	-13.33      	-5.83       	-5.00
9.400       	-9.17       	-3.33       	-7.92
9.500       	-2.92       	-8.33       	-11.25
9.600       	-10.83      	-5.83       	-10.83
9.700       	-13.75      	-2.50       	2.50
9.800       	-8.33       	0.00        	-0.83
9.900       	-7.08       	2.50        	-6.67
10.000      	-12.50      	-1.67       	-4.58
10.100      	-6.25       	-5.00       	2.50
10.200      	-13.33      	-8.75       	2.92
10.300      	-16.25      	-5.00       	0.83
10.400      	-9.17       	-2.50       	2.08
10.500      	-13.75      	-0.83       	0.83
10.600      	-15.00      	1.67        	-3.75
10.700      	-12.92      	-0.83       	-4.58
10.800      	-10.83      	-8.33       	-3.75
10.900      	-7.92       	-7.50       	-2.92
11.000      	-12.92      	-1.67       	-0.83
11.100      	-13.75      	-4.58       	-5.83
11.200      	-12.08      	-10.83      	-10.42
11.300      	-13.75      	-13.75      	-5.83
11.400      	-5.42       	-5.83       	-3.33
11.500      	-8.33       	-4.58       	-12.08
11.600      	-13.33      	-3.75       	-6.67
11.700      	-6.25       	1.25        	0.00
11.800      	-12.92      	-3.33       	-5.83
11.900      	-9.58       	-2.50       	-3.33
12.000      	-8.75       	0.83        	-10.00
12.100      	-11.67      	-0.83       	-7.92
12.200      	-6.67       	-1.67       	-7.08
12.300      	-7.50       	1.25        	-0.83
12.400      	0.00        	-0.83       	-3.75
12.500      	-5.83       	-0.42       	-3.75
12.600      	-5.42       	-4.17       	-1.67
12.700      	-7.50       	-0.42       	0.00
12.800      	-10.42      	-4.58       	-4.58
12.900      	-3.33       	-9.17       	-1.25
13.000      	-7.92       	-7.50       	0.00
13.100      	-10.00      	-6.25       	-8.75
13.200      	-18.75      	-15.00      	-9.17
13.300      	-16.67      	-12.92      	-8.33
13.400      	-13.75      	-15.42      	-7.92
13.500      	-15.42      	-7.92       	-3.33
13.600      	-14.58      	-5.00       	-10.00
13.700      	-13.75      	-7.92       	-6.67
13.800      	-8.75       	-10.00      	-1.67
13.900      	-9.17       	-14.58      	1.25
14.000      	-8.75       	-12.08      	-1.25
14.100      	-10.42      	-13.33      	0.42
14.200      	-9.58       	-14.58      	-5.00
14.300      	-14.17      	-15.83      	-2.92
14.400      	-15.00      	-7.08       	2.08
14.500      	-15.00      	-11.25      	-0.83
14.600      	-20.00      	-12.50      	-0.83
14.700      	-14.58      	-7.50       	-1.67
14.800      	-11.67      	-10.00      	1.25
14.900      	-10.00      	-11.25      	5.42
15.000      	-12.50      	-13.75      	0.42
15.100      	-7.08       	-11.25      	4.58
15.200      	-5.83       	-14.58      	0.00
15.300      	-6.67       	-13.75      	0.42
15.400      	-10.42      	-11.25      	0.42
15.500      	-12.08      	-10.83      	-5.00
15.600      	-12.08      	-11.67      	-6.25
15.700      	-9.17       	-13.75      	-7.92
15.800      	-17.92      	-12.08      	-1.25
15.900      	-14.17      	-16.25      	-6.67
16.000      	-10.42      	-10.00      	-1.67
16.100      	-9.17       	-9.17       	-0.83
16.200      	-5.00       	-7.92       	1.25
16.300      	-7.50       	-9.58       	0.83
16.400      	-11.25      	-7.92       	0.83
16.500      	-15.00      	-11.67      	-2.92
16.600      	-12.08      	-5.83       	-3.75
16.700      	-10.00      	-9.58       	1.67
16.800      	-5.42       	-7.50       	2.08
16.900      	-5.00       	-6.67       	-0.83
17.000      	-12.08      	-5.00       	2.92
17.100      	-15.00      	-10.00      	2.92
17.200      	-12.08      	-12.50      	3.75
17.300      	-12.92      	-12.50      	-7.50
17.400      	-21.67      	-7.92       	-8.75
17.500      	-24.17      	-1.25       	-4.17
17.600      	-20.42      	-3.33       	-2.92
17.700      	-22.50      	-7.08       	1.25
17.800      	-20.83      	-5.42       	-3.75
17.900      	-3.33       	-4.17       	2.08
18.000      	6.67        	-5.83       	-2.08
18.100      	11.25       	-11.67      	-1.67
18.200      	14.17       	-8.33       	-5.00
18.300      	15.83       	0.00        	-4.58
18.400      	7.50        	-2.08       	-4.17
18.500      	0.83        	-9.58       	-1.67
18.600      	-0.42       	-7.92       	0.00
18.700      	-1.67       	-5.83       	-5.00
18.800      	-5.00       	-4.58       	-0.42
18.900      	-4.17       	-4.58       	-3.33
19.000      	-7.08       	-3.33       	-2.08
19.100      	-5.00       	-2.50       	2.92
19.200      	0.42        	-5.83       	2.92
19.300      	-0.42       	-10.83      	1.67
19.400      	1.25        	-12.92      	-0.42
19.500      	0.83        	-10.83      	2.92
19.600      	1.25        	-5.83       	2.92
19.700      	1.25        	-9.17       	5.42
19.800      	0.42        	-12.08      	1.25
19.900      	-0.42       	-7.50       	-3.33
20.000      	2.50        	-10.83      	5.42
20.100      	2.92        	-6.25       	-1.25
20.200      	-6.25       	-3.33       	2.92
20.300      	-7.92       	-5.42       	-0.83
20.400      	-4.58       	-7.50       	-1.67
20.500      	2.08        	-2.92       	1.67
20.600      	4.17        	-3.75       	3.33
20.700      	5.42        	-3.75       	3.75
20.800      	5.42        	-8.75       	-1.25
20.900      	9.58        	-7.08       	1.67
21.000      	8.75        	-2.08       	7.50
21.100      	5.42        	0.83        	8.33
21.200      	5.00        	3.33        	0.42
21.300      	3.33        	-4.17       	2.08
21.400      	2.08        	-4.17       	6.25
21.500      	8.75        	-6.25       	5.00
21.600      	0.83        	-4.17       	2.08
21.700      	-2.92       	-4.58       	0.83
21.800      	2.92        	-1.25       	0.83
21.900      	-1.67       	-2.92       	4.17
22.000      	0.00        	-11.25      	2.92
22.100      	5.00        	-12.92      	10.83
22.200      	2.08        	-9.17       	8.75
22.300      	3.75        	-1.67       	5.83
22.400      	-2.92       	-1.25       	2.92
22.500      	-1.67       	-3.33       	-2.92
22.600      	-0.83       	-8.75       	-4.17
22.700      	-0.83       	-3.33       	-1.67
22.800      	1.25        	-4.58       	5.00
22.900      	4.58        	-0.83       	0.42
23.000      	4.17        	-5.00       	-0.83
23.100      	1.25        	-7.92       	5.00
23.200      	-0.42       	-3.75       	6.25
23.300      	-2.08       	-5.00       	8.33
23.400      	-4.58       	-10.00      	11.67
23.500      	-5.83       	-9.58       	1.25
23.600      	-3.33       	-11.67      	0.42
23.700      	5.42        	-5.42       	3.75
23.800      	3.33        	-5.83       	5.42
23.900      	2.92        	-8.75       	6.25
24.000      	5.83        	-7.50       	7.92
24.100      	7.50        	-9.58       	6.67
24.200      	3.75        	-6.67       	4.17
24.300      	3.33        	-8.33       	4.17
24.400      	2.50        	-6.67       	4.58
24.500      	-2.08       	-5.83       	4.17
24.600      	0.42        	-7.50       	2.08
24.700      	3.33        	-7.08       	0.83
24.800      	2.08        	-10.42      	0.42
24.900      	2.92        	-7.50       	3.33
25.000      	0.00        	-2.92       	5.00
25.100      	-0.42       	-8.75       	5.83
25.200      	-2.92       	-6.67       	3.33
25.300      	-3.75       	-6.25       	5.42
25.400      	4.17        	-10.00      	4.58
25.500      	5.00        	-12.92      	4.17
25.600      	2.08        	-4.17       	5.83
25.700      	4.17        	-2.08       	5.42
25.800      	7.50        	-8.33       	4.58
25.900      	3.75        	-5.42       	5.83
26.000      	7.92        	1.25        	10.42
26.100      	2.92        	-7.92       	5.83
26.200      	-0.42       	-10.00      	1.25
26.300      	5.83        	-11.25      	5.83
26.400      	8.75        	-8.33       	1.25
26.500      	1.67        	-2.50       	1.67
26.600      	-1.67       	1.67        	2.92
26.700      	-2.50       	-3.33       	-3.33
26.800      	0.00        	-5.83       	-4.17
26.900      	0.00        	-5.42       	1.67
27.000      	-7.50       	-10.00      	0.00
27.100      	-2.08       	-7.92       	-2.08
27.200      	1.67        	-7.08       	-1.67
27.300      	-0.42       	-6.25       	1.67
27.400      	-2.08       	-13.33      	1.67
27.500      	-5.42       	-9.17       	-0.42
27.600      	-11.25      	-7.08       	4.17
27.700      	-6.25       	-10.00      	1.67
27.800      	-5.42       	-4.17       	5.42
27.900      	-11.25      	-10.42      	5.00
28.000      	-11.67      	-10.83      	5.00
28.100      	-13.33      	-15.42      	2.50
28.200      	-14.17      	-2.50       	-4.17
28.300      	-8.75       	-1.25       	-7.08
28.400      	-8.33       	-2.92       	-0.83
28.500      	-9.58       	-7.08       	-2.50
28.600      	-4.17       	-9.17       	-2.50
28.700      	-1.25       	-7.50       	-1.67
28.800      	0.42        	-6.67       	-4.58
28.900      	-4.17       	-10.00      	-9.58
29.000      	-12.92      	-10.00      	-9.17
29.100      	-12.50      	-11.67      	-8.75
29.200      	-10.83      	-16.25      	-5.00
29.300      	-12.50      	-11.67      	-3.75
29.400      	-13.33      	-6.67       	-8.75
29.500      	-13.33      	-16.67      	-7.92
29.600      	-12.92      	-14.17      	-12.50
29.700      	-7.08       	-15.83      	-6.25
29.800      	-7.92       	-13.75      	-2.92
29.900      	-8.75       	-12.08      	-1.67
30.000      	-2.92       	-11.25      	-2.50
30.100      	1.25        	-6.25       	6.67
30.200      	-2.50       	-11.67      	-0.83
30.300      	5.42        	-8.75       	-7.50
30.400      	2.50        	-7.92       	-9.58
30.500      	-5.00       	-8.33       	-11.25
30.600      	-5.00       	-10.42      	-12.08
30.700      	-2.50       	-10.42      	-13.33
30.800      	-5.00       	-7.92       	-5.42
30.900      	1.25        	0.00        	-2.50
31.000      	0.00        	-5.83       	-3.75
31.100      	-5.00       	-4.58       	-1.67
31.200      	-7.92       	-7.08       	-2.50
31.300      	0.00        	-2.50       	-0.42
31.400      	0.00        	-4.17       	2.50
31.500      	-3.33       	0.00        	2.92
31.600      	-4.17       	-10.83      	-7.08
31.700      	0.00        	-5.00       	-1.25
31.800      	-1.25       	-1.25       	-5.00
31.900      	-5.00       	-1.67       	-9.17
32.000      	-3.33       	-2.08       	-6.25
32.100      	-3.75       	-10.00      	-1.67
32.200      	-7.08       	-8.75       	-1.67
32.300      	-10.83      	-6.25       	-6.25
32.400      	-14.17      	-10.00      	-15.42
32.500      	-15.83      	-4.58       	-10.83
32.600      	-8.33       	-5.83       	-12.08
32.700      	-5.83       	0.00        	-11.67
32.800      	-10.83      	2.92        	-11.25
32.900      	-10.83      	0.42        	-16.67
33.000      	-12.92      	-0.83       	-10.83
33.100      	-9.17       	2.08        	-5.42
33.200      	-7.08       	-2.50       	-9.17
33.300      	-8.75       	-1.25       	-9.17
33.400      	-6.67       	-5.42       	-3.33
33.500      	-8.33       	-2.08       	-8.33
33.600      	-7.92       	-4.17       	-8.75
33.700      	-6.67       	-0.83       	-10.42
33.800      	-5.42       	-3.75       	-15.00
33.900      	-1.25       	-6.67       	-11.25
34.000      	-3.33       	-3.33       	-15.00
34.100      	-12.50      	0.83        	-8.33
34.200      	-11.67      	-5.00       	-12.50
34.300      	-8.75       	-7.08       	-13.75
34.400      	-7.50       	-7.08       	-10.00
34.500      	-7.92       	-12.08      	-12.50
34.600      	-8.33       	-11.67      	-10.00
34.700      	-8.75       	-8.33       	-9.58
34.800      	-7.92       	-7.50       	-9.58
34.900      	-15.42      	-4.17       	-10.42
35.000      	-10.00      	-10.83      	-12.92
35.100      	-8.75       	-14.58      	-11.67
35.200      	-8.33       	-9.17       	-10.42
35.300      	-10.42      	-7.50       	-8.75
35.400      	-6.67       	-15.42      	-7.92
35.500      	0.42        	-10.00      	-3.33
35.600      	0.83        	-13.33      	-1.25
35.700      	3.75        	-10.83      	-3.75
35.800      	-1.67       	-9.58       	-5.00
35.900      	-1.67       	-5.83       	-4.58
36.000      	-5.00       	-8.75       	-11.67
36.100      	-4.17       	-4.17       	-15.83
36.200      	0.83        	-7.92       	-5.83
36.300      	1.67        	-7.50       	-2.08
36.400      	-6.67       	-4.17       	-7.50
36.500      	-5.00       	-0.42       	-7.50
36.600      	-3.33       	-2.50       	-9.58
36.700      	-5.83       	-15.00      	-8.33
36.800      	-0.83       	-12.92      	-3.33
36.900      	-0.83       	-12.92      	-5.00
37.000      	-4.17       	-12.92      	-6.67
37.100      	-5.42       	-7.08       	-3.33
37.200      	-6.67       	-3.33       	-8.33
37.300      	-3.33       	-5.42       	-14.58
37.400      	-4.58       	-3.33       	-6.25
37.500      	-6.25       	-8.33       	-7.92
37.600      	-5.00       	-2.08       	-4.58
37.700      	-2.50       	4.17        	-1.67
37.800      	-0.83       	-0.83       	-2.50
37.900      	1.67        	-6.67       	-3.33
38.000      	1.25        	-9.58       	-1.25
38.100      	-8.33       	-11.67      	-3.75
38.200      	-3.75       	-9.58       	-4.58
38.300      	0.42        	-2.92       	-5.00
38.400      	6.67        	0.00        	-10.00
38.500      	2.50        	-1.25       	-9.17
38.600      	-0.42       	-3.75       	-2.92
38.700      	-1.67       	-5.00       	-5.00
38.800      	2.50        	-8.75       	-2.08
38.900      	8.33        	-8.33       	1.67
39.000      	6.67        	-8.33       	1.67
39.100      	-0.83       	-2.50       	-5.00
39.200      	1.67        	-5.00       	1.25
39.300      	1.67        	-4.58       	0.42
39.400      	-1.67       	-3.75       	-5.42
39.500      	1.25        	-1.67       	-6.25
39.600      	0.42        	1.25        	-1.25
39.700      	-7.08       	3.33        	-3.75
39.800      	-2.92       	4.17        	-4.58
39.900      	0.00        	1.25        	-8.33
40.000      	-0.42       	6.25        	-5.83
40.100      	3.33        	5.42        	4.58
40.200      	5.00        	2.50        	5.83
40.300      	6.67        	6.25        	0.42
40.400      	3.33        	-3.33       	-0.42
40.500      	2.50        	-11.67      	-2.92
40.600      	-1.67       	-8.75       	-2.08
40.700      	-1.25       	-5.42       	-5.00
40.800      	1.67        	0.00        	-2.92
40.900      	8.75        	-0.83       	-0.83
41.000      	5.00        	2.08        	-1.25
41.100      	3.33        	1.67        	-0.42
41.200      	1.67        	-5.00       	-0.42
41.300      	-0.83       	-7.50       	-10.00
41.400      	-5.00       	-7.92       	-12.50
41.500      	-3.75       	-3.33       	-11.67
41.600      	-2.08       	-3.75       	-12.08
41.700      	-0.42       	-0.83       	-13.75
41.800      	-3.75       	-1.67       	-8.75
41.900      	-8.33       	0.00        	-8.33
42.000      	-9.17       	-2.50       	-5.00
42.100      	-2.92       	-5.00       	-12.92
42.200      	-1.67       	-9.17       	-10.00
42.300      	-1.67       	-8.75       	-4.58
42.400      	-7.50       	-4.58       	-8.33
42.500      	-7.08       	0.00        	-11.25
42.600      	-7.08       	-2.92       	-11.25
42.700      	-4.17       	-2.92       	-8.75
42.800      	-1.67       	-1.25       	-7.92
42.900      	-4.58       	3.33        	-7.50
43.000      	-12.92      	0.42        	-10.42
43.100      	-9.17       	4.58        	-9.58
43.200      	-8.33       	2.50        	-14.17
43.300      	-7.50       	0.83        	-19.17
43.400      	-0.83       	2.08        	-17.50
43.500      	-1.25       	-4.17       	-17.92
43.600      	0.83        	3.75        	-14.58
43.700      	0.83        	2.08        	-14.58
43.800      	2.92        	-1.67       	-21.25
43.900      	5.42        	0.83        	-17.50
44.000      	1.67        	1.25        	-14.58
44.100      	-3.75       	2.08        	-13.75
44.200      	0.00        	1.67        	-9.58
44.300      	-2.08       	1.25        	-11.25
44.400      	-4.17       	0.83        	-14.58
44.500      	0.42        	-0.83       	-10.83
44.600      	-5.42       	0.00        	-1.67
44.700      	-1.67       	-3.75       	-5.00
44.800      	0.00        	-3.33       	-13.33
44.900      	-3.75       	-3.75       	-16.25
45.000      	-3.33       	-2.50       	-12.50
45.100      	-3.33       	-6.25       	-5.83
45.200      	2.50        	-2.08       	-10.83
45.300      	5.42        	-0.83       	-13.33
45.400      	9.58        	-0.42       	-12.08
45.500      	2.08        	0.42        	-14.17
45.600      	-4.17       	-8.75       	-15.83
45.700      	0.83        	-10.42      	-16.25
45.800      	-0.83       	-6.25       	-19.58
45.900      	0.42        	1.25        	-14.58
46.000      	-1.67       	0.00        	-17.08
46.100      	1.67        	-3.75       	-17.50
46.200      	2.08        	-5.42       	-17.92
46.300      	0.83        	-1.25       	-16.67
46.400      	-0.42       	-4.17       	-12.50
46.500      	0.00        	-3.33       	-17.92
46.600      	-1.25       	-2.92       	-22.50
46.700      	-0.83       	-7.08       	-13.75
46.800      	-10.83      	-7.92       	-14.58
46.900      	-7.92       	-3.75       	-14.58
47.000      	-4.58       	0.83        	-9.17
47.100      	-10.42      	1.25        	-15.83
47.200      	-7.08       	-4.17       	-16.67
47.300      	-2.92       	-4.58       	-18.75
47.400      	-6.67       	-5.83       	-10.42
47.500      	-15.83      	-6.25       	-11.25
47.600      	-7.50       	-4.17       	-19.58
47.700      	-2.08       	-7.92       	-25.83
47.800      	-7.50       	-7.08       	-20.00
47.900      	-10.83      	-4.58       	-12.50
48.000      	-13.75      	-6.67       	-12.92
48.100      	-14.58      	-10.83      	-12.50
48.200      	-13.33      	-8.75       	-13.75
48.300      	-12.92      	-7.50       	-12.08
48.400      	-8.75       	-2.50       	-19.58
48.500      	-12.08      	-8.33       	-23.75
48.600      	-12.50      	-7.92       	-21.25
48.700      	-7.50       	-9.58       	-10.00
48.800      	-7.08       	-7.92       	-10.00
48.900      	-7.92       	-5.42       	-11.67
49.000      	-21.25      	-4.58       	-14.17
49.100      	-12.50      	-9.17       	-18.75
49.200      	-8.75       	-4.17       	-15.00
49.300      	-11.25      	-7.08       	-14.58
49.400      	-10.83      	-5.42       	-20.83
49.500      	-7.92       	-1.67       	-16.25
49.600      	-8.75       	2.92        	-16.25
49.700      	-15.00      	-4.17       	-10.00
49.800      	-20.00      	-4.58       	-8.75
49.900      	-18.75      	-4.17       	-10.42
50.000      	-19.17      	-8.33       	-11.67
50.100      	-12.50      	-8.75       	-5.00
50.200      	-15.83      	-10.83      	-7.08
50.300      	-15.83      	-15.00      	-9.58
50.400      	-6.25       	-10.42      	-9.58
50.500      	-7.92       	-2.92       	-13.33
50.600      	-9.17       	-1.25       	-14.17
50.700      	-13.75      	-2.50       	-8.33
50.800      	-15.42      	-5.42       	-7.08
50.900      	-12.50      	-5.00       	-10.83
51.000      	-10.83      	-7.92       	-7.50
51.100      	-11.25      	-12.50      	-8.33
51.200      	-10.00      	-12.50      	-14.58
51.300      	-16.25      	-5.00       	-18.75
51.400      	-15.42      	-3.33       	-14.58
51.500      	-15.00      	-9.58       	-9.58
51.600      	-13.33      	-9.17       	-3.75
51.700      	-10.83      	-3.33       	-9.58
51.800      	-8.75       	0.83        	-7.50
51.900      	-11.67      	6.25        	0.00
52.000      	-10.83      	3.75        	-6.25
52.100      	-4.58       	0.42        	-2.08
52.200      	-2.92       	-5.42       	-1.67
52.300      	-7.50       	-8.75       	-5.42
52.400      	-12.50      	-4.17       	1.25
52.500      	-15.00      	-4.17       	-0.42
52.600      	-16.25      	-3.75       	-3.33
52.700      	-10.42      	-3.33       	-2.92
52.800      	-5.42       	-2.92       	-9.17
52.900      	-5.83       	-5.00       	-10.42
53.000      	0.83        	-6.25       	-3.75
53.100      	-5.83       	-6.25       	-10.00
53.200      	-5.42       	-5.42       	-5.83
53.300      	-2.08       	-9.17       	-5.00
53.400      	-5.00       	-11.25      	-5.83
53.500      	-5.00       	-10.83      	-12.92
53.600      	-7.08       	-6.25       	-13.33
53.700      	-10.83      	-10.42      	-8.33
53.800      	-10.00      	-13.33      	-7.92
53.900      	-13.33      	-7.50       	-13.33
54.000      	-14.58      	-9.17       	-11.67
54.100      	-12.92      	-6.25       	-12.50
54.200      	-10.42      	-5.83       	-9.58
54.300      	-11.67      	-12.92      	-9.58
54.400      	-12.92      	-13.75      	-1.67
54.500      	-10.00      	-9.17       	-7.92
54.600      	-7.08       	-6.25       	-15.83
54.700      	-6.25       	-8.33       	-19.58
54.800      	1.67        	-12.50      	-15.83
54.900      	-0.42       	-11.25      	-7.50
55.000      	-4.58       	-5.42       	-10.83
55.100      	-2.92       	-10.00      	-7.50
55.200      	-9.17       	-7.50       	-7.92
55.300      	-10.42      	-4.58       	-11.25
55.400      	-7.92       	-9.17       	-5.83
55.500      	-3.33       	-3.75       	-7.92
55.600      	-4.17       	-7.92       	-7.50
55.700      	-7.92       	-5.42       	-10.83
55.800      	-0.42       	-7.50       	-10.42
55.900      	0.42        	-9.58       	-7.08
56.000      	-2.08       	-3.75       	-12.92
56.100      	-2.92       	-5.00       	-9.17
56.200      	-5.42       	-10.00      	-9.17
56.300      	-9.58       	-9.17       	-10.42
56.400      	-11.67      	-12.50      	-9.17
56.500      	-7.50       	-10.83      	-3.33
56.600      	-9.17       	-6.67       	-9.17
56.700      	-10.83      	-7.08       	-13.33
56.800      	-9.58       	-7.92       	-13.33
56.900      	-4.17       	-9.17       	-14.17
57.000      	-6.67       	-9.58       	-15.83
57.100      	-2.50       	-7.92       	-13.75
57.200      	-2.08       	-5.00       	-5.83
57.300      	-4.17       	-2.92       	-5.42
57.400      	-6.67       	-3.75       	-8.75
57.500      	-12.50      	-4.58       	-9.58
57.600      	-8.75       	-5.83       	-10.42
57.700      	-7.08       	-14.17      	-17.92
57.800      	-2.92       	-11.67      	-15.00
57.900      	-4.17       	-2.08       	-13.75
58.000      	-2.92       	-3.75       	-20.00
58.100      	-7.92       	-5.83       	-12.92
58.200      	-12.50      	-7.08       	-12.08
58.300      	-7.50       	-1.25       	-8.75
58.400      	0.00        	-5.83       	-5.42
58.500      	2.08        	-10.00      	-10.00
58.600      	-5.83       	-5.42       	-8.33
58.700      	-7.08       	0.83        	-10.42
58.800      	-9.17       	-1.67       	-10.83
58.900      	-5.83       	-2.08       	-10.83
59.000      	-6.67       	1.67        	-5.42
59.100      	-5.00       	0.42        	0.42
59.200      	-5.83       	-5.00       	-1.25
59.300      	-7.92       	-0.42       	-2.08
59.400      	-7.08       	0.42        	-1.25
59.500      	-5.42       	1.67        	5.00
59.600      	-5.00       	1.67        	3.33
59.700      	-6.67       	0.42        	-1.67
59.800      	-9.17       	-0.83       	-2.92
59.900      	-9.58       	0.83        	-2.50
60.000      	-4.58       	-0.42       	-4.17
60.100      	-1.25       	-9.17       	-5.42
60.200      	3.75        	-2.08       	-3.33
60.300      	4.17        	-3.75       	1.25
60.400      	1.67        	0.00        	-1.25
60.500      	-0.83       	-7.50       	-8.33
60.600      	7.92        	-7.50       	-5.00
60.700      	8.33        	-7.92       	-6.67
60.800      	10.83       	-8.75       	-12.08
60.900      	3.75        	-4.58       	-12.08
61.000      	0.83        	-5.42       	-4.58
61.100      	-0.83       	-5.83       	-3.33
61.200      	2.08        	-7.50       	-4.17
61.300      	3.33        	-4.58       	-3.75
61.400      	0.42        	-5.42       	-10.83
61.500      	-1.25       	-1.67       	-9.58
61.600      	-2.50       	0.00        	-7.50
61.700      	1.67        	-0.42       	-13.33
61.800      	5.83        	6.67        	-12.08
61.900      	7.50        	0.42        	-9.58
62.000      	2.92        	0.00        	-5.83
62.100      	2.50        	1.25        	-4.58
62.200      	-1.25       	4.17        	-5.42
62.300      	-2.92       	3.33        	-5.42
62.400      	-0.42       	0.42        	-10.83
62.500      	0.00        	-0.83       	-10.42
62.600      	-0.83       	-3.33       	-9.58
62.700      	-4.58       	-5.83       	-12.50
62.800      	-6.25       	-7.50       	-8.75
62.900      	-3.75       	-1.67       	-2.50
63.000      	-7.08       	-0.83       	-3.75
63.100      	-8.75       	-7.92       	-5.83
63.200      	-7.08       	-5.00       	-4.58
63.300      	-8.33       	0.00        	-7.08
63.400      	-0.42       	1.25        	-11.67
63.500      	3.75        	0.83        	-7.08
63.600      	-2.08       	0.00        	-3.75
63.700      	-5.42       	-2.50       	-3.75
63.800      	-7.08       	-8.75       	-7.50
63.900      	-8.33       	-5.00       	-12.08
64.000      	1.25        	2.08        	-7.50
64.100      	3.75        	2.92        	-4.58
64.200      	-2.50       	3.75        	-4.17
64.300      	-2.92       	0.83        	-7.92
64.400      	-1.67       	-3.75       	-3.33
64.500      	-5.42       	-7.92       	-0.83
64.600      	-7.08       	-1.25       	-6.25
64.700      	-2.08       	-1.25       	-4.58
64.800      	-5.83       	-5.83       	3.33
64.900      	-7.50       	-6.25       	1.25
65.000      	-0.83       	-5.00       	2.50
65.100      	1.25        	-5.00       	3.75
65.200      	3.75        	-5.42       	4.58
